"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1909384981513949613","Mon Apr 07 23:20:15 +0000 2025","0","- RUU TNI cuma memperpanjang masa pensiun? lah yang bisa mengisi pemerintahan itu apa? cari kerja susah malah mereka dibolehin double job? - MBG juga ga bergizi amat mending ortunya aja dikasih lapangan pekerjaan biar bs beli MAKANAN BERGIZI buat anak https://t.co/FJftGpizoI","1909385764397527256","","cibuksbelpikil","in","","0","1","0","https://x.com/cibuksbelpikil/status/1909385764397527256","1209647448890605568","cibuksbelpikil"
"1909381705758302656","Mon Apr 07 23:14:12 +0000 2025","0","@GuruGembull 3. Tentang RUU TNI jika memang hanya soal pensiun mengapa draf RUU tidak dibuka ke publik? Bukankah transparansi adalah kunci kepercayaan? Apa yang sebenarnya disembunyikan dalam RUU tersebut?","1909384243140231272","","dimarsasongko98","in","Jakarta","0","1","0","https://x.com/dimarsasongko98/status/1909384243140231272","1781618112259076096","dimarsasongko98"
"1909107655605690428","Mon Apr 07 23:10:31 +0000 2025","7","@aromapetrikorr Let me guess pasti yang nempel spanduk itu buzzer atau panasbung (pasukan nasi bungkus) yang dukung ruu tni kemaren","1909383313212789012","","aromapetrikorr","in","","0","0","0","https://x.com/sebuahkarangs/status/1909383313212789012","2943409753","sebuahkarangs"
"1909382224316973436","Mon Apr 07 23:09:34 +0000 2025","0","2 ) Tentang rapat di hotel adalah kewenangan dari Ketua Rapat. Hal ini berlaku sejak dahulu! Ini kan bukan wewenang Presiden atau Institusi Pemerintah. Dipakai don't logikanya! @NarasiNewsroom Kenapa tidak menampilkan juga sisi Ketua Rapat RUU TNI tsb? https://t.co/zvLa0a1pC1","1909383075777356085","","ImaginarySteady","in","Jakarta, Indonesia","1","1","0","https://x.com/ImaginarySteady/status/1909383075777356085","2556873745","ImaginarySteady"
"1909383055229567175","Mon Apr 07 23:09:29 +0000 2025","0","Demo yang ngedukung RUU TNI gak sih wo yang di bayar","1909383055229567175","","","in","Ababwa","0","0","0","https://x.com/chocoocheese_/status/1909383055229567175","1050550861997334530","chocoocheese_"
"1909220939532808646","Mon Apr 07 23:07:39 +0000 2025","0","@jumbellingham @tanyarlfes Wawancara Najwa Shihab dan 5 media lain dengan Presiden Prabowo pada 6 April 2025 di Hambalang Bogor kemungkinan bahas UU TNI yang baru disahkan 20 Maret 2025 memperluas peran militer di urusan sipil dan RUU Polri yang kontroversial soal kekuasaan polisi. Topiknya seputar","1909382591884521554","","jumbellingham","in","wherever you are","0","0","0","https://x.com/grok/status/1909382591884521554","1720665183188922368","grok"
"1909261163428503856","Mon Apr 07 23:07:24 +0000 2025","21","@wordfangs Presiden itu emg dibatasi akses informasinya. Buta dan tuli masalah akar rumput dan kita dipaksa setuju dengan sikapnya yg ga nyambung. Tarif AS direspon dg MBG demo dikatain bayaran Draft RUU TNI dibilang palsu 80% koalisi parlemen bisa ga setuju. NDASMU.!!!","1909382528311738854","","wordfangs","in","Indonesia","0","0","1","https://x.com/masbimabimo/status/1909382528311738854","454145625","masbimabimo"
"1909292019224367579","Mon Apr 07 23:04:54 +0000 2025","0","@barengwarga Wdh....spertinya.....spertinya ini... Gass....batalkan RUU TNI #SupremasiSipil #BatalkanRUUTNI","1909381901405815252","","barengwarga","in","","0","0","0","https://x.com/de_nada_11/status/1909381901405815252","1460565098800451584","de_nada_11"
"1909381780354089223","Mon Apr 07 23:04:25 +0000 2025","0"," demo murni ap dibayar? ya yg dibayar yg demo pro ruu tni","1909381780354089223","","","in"," material metallurgy eng!","0","0","0","https://x.com/taylqor/status/1909381780354089223","554824683","taylqor"
"1909261163428503856","Mon Apr 07 23:03:02 +0000 2025","0","@mujaerterbang @wordfangs Lupa yang mana kayaknya yang membahas RUU TNI","1909381433426427956","","mujaerterbang","in","Starscourge Radahn","0","0","0","https://x.com/bvscoro/status/1909381433426427956","2754115052","bvscoro"
"1909380698500460561","Mon Apr 07 23:00:07 +0000 2025","2","Tapi dia bener kalo lu gasuka ya tinggal blok aja simpel ada uu tni ruu polri ruu penyiaran rkuhap yang jauh lebih penting daripada ngurus manusia sangean","1909380698500460561","","","in","","0","0","0","https://x.com/RafayelSunda/status/1909380698500460561","1887833320031244288","RafayelSunda"
"1909135589695254759","Mon Apr 07 22:57:53 +0000 2025","0","@AanSaputraa_ Perbanyak post ginian Nder seru kalau cewk crewet daripada sepi ras terkuat di bumi bisa di hajar semua apalagi RUU TNI sama pemerintah yg nge gosting Rakyat nya","1909380136413413871","","AanSaputraa_","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/hyperproplayer/status/1909380136413413871","1807799395490123777","hyperproplayer"
"1909379946470109623","Mon Apr 07 22:57:08 +0000 2025","1","Emang bener ada demo yang dibayar contohnya demo mendukung RUU TNI","1909379946470109623","","","in","","0","0","0","https://x.com/lilblackflower/status/1909379946470109623","1139496851097341953","lilblackflower"
"1909216143090340307","Mon Apr 07 22:57:06 +0000 2025","15","@nabiylarisfa Ttg UU TNI Prabowo cm bahas jendral2 TNI gk ada ttg prajurit2. RUU TNI disahkan bkn demi kesejahteraan prajurit tp buat jendral2 TNI yg mau pensiun tp gk pny jabatan dan msh miskin. Prabowo ksh perpanjangan pensiun + jabatan sipil buat memperkaya diri. ","1909379937217524216","","nabiylarisfa","in","","0","0","2","https://x.com/DianHayati16728/status/1909379937217524216","1736640632545001472","DianHayati16728"
"1909080577002836151","Mon Apr 07 22:52:07 +0000 2025","0","@KompasTV emang apa aja yang udah dipenuhi sampe nilai 6? maksudnya pajak naik gas DANANTARA RUU TNI Rp naik dan masih banyak lagi","1909378686224404750","","KompasTV","in","jyp","0","0","0","https://x.com/Ppotatochiips/status/1909378686224404750","1308273449282879488","Ppotatochiips"
"1909378665034793376","Mon Apr 07 22:52:02 +0000 2025","0","Video Presiden Prabowo Tanggapi Draf RUU TNI yang Disebut Tak Transparan https://t.co/PNN9j5scLK","1909378665034793376","","","in","JKT-INA","0","0","0","https://x.com/20detik/status/1909378665034793376","598959076","20detik"
"1909233662782328935","Mon Apr 07 22:50:19 +0000 2025","0","@virdianaurellio @prabowo Kalo cinta negeri ini demo nya ga rusuh mas demo tujuan ny ga jelas. Apa yg di demo? RUU TNI mana yg point ny berbahaya?","1909378230882312627","","virdianaurellio","in","","0","0","0","https://x.com/MokoroboChannel/status/1909378230882312627","1468261069017665536","MokoroboChannel"
"1909306810752008243","Mon Apr 07 22:47:37 +0000 2025","1","@zarryhendrik El Yapping benar Demo dibayar. Nih contohnya Demo mendukung RUU TNI! Wkwkwkwk https://t.co/GiLcRkgYlr","1909377550620782989","https://pbs.twimg.com/media/Gn94w30bwAEoJo1.jpg","zarryhendrik","in","","0","0","0","https://x.com/TraderDhan27089/status/1909377550620782989","1722513448142270464","TraderDhan27089"
"1909259647275655591","Mon Apr 07 19:10:40 +0000 2025","1","@FeedCanfield @immiddlemist @BocorAlusPol Si bodoh ini pura gatau usulan RUU TNI Minerba Polri dari siapa","1909322953919254635","","FeedCanfield","in","","0","0","0","https://x.com/salimist_/status/1909322953919254635","1464056066","salimist_"
"1909322797744009600","Mon Apr 07 19:10:03 +0000 2025","15"," UU TNI dan RUU POLRI apa kabar ya???????????????","1909322797744009600","","","in","","0","6","0","https://x.com/convomf/status/1909322797744009600","1314975287294083073","convomf"
"1909322697391140908","Mon Apr 07 19:09:39 +0000 2025","0","Poin poin yg di sampaikan 6 media tuh cukup mewakili kecuali pertanyaan terakir yg offside dimana semua media bersatu mengaris besar besar maksud tujuan diskusi tersebut mengenai RUU TNI RUU Polri dan transparansi yg menghawatirkan akhir akhir ini dan berkembang pada permasala-","1909322697391140908","","","in","malinau","0","2","0","https://x.com/novencr1/status/1909322697391140908","1230466586718289921","novencr1"
"1909119478748819554","Mon Apr 07 19:08:37 +0000 2025","0","@OggyZilly43173 @kompascom mantap RUU TNI tuh gaada problemnya kok pas saya analisa pasal2nya","1909322438887854447","","OggyZilly43173","in","","0","0","0","https://x.com/ahmadsantoooo/status/1909322438887854447","1812214781748838400","ahmadsantoooo"
"1909320459998707785","Mon Apr 07 19:01:51 +0000 2025","0","Kemudian tambahan tolong juga mereka tonton video Tempo Bocor alus tentang RUU TNI. Dari 2 hal itu mungkin akan terlihat keadaan sebenarnya agar kita semua tidak terpecah belah.","1909320735203655935","","rockmannzero","in","","0","1","0","https://x.com/rockmannzero/status/1909320735203655935","1638193494350233601","rockmannzero"
"1909318490139640185","Mon Apr 07 18:52:56 +0000 2025","0","berani juga diajak public accountability session ga kayak si mulyono. didemo malah kabur kaburan. berani sih tapi ttp aja jawabannya ga jelas terutama scene prabowo jawab pertanyaan ttg ruu tni konsinyering matane lah. ditagih draf malah ngedefend terus ga berani jawab kmbg!!","1909318490139640185","","","in","Jakarta Raya","0","0","0","https://x.com/trisuprastomo/status/1909318490139640185","144858077","trisuprastomo"
"1909196517250117795","Mon Apr 07 18:45:26 +0000 2025","1","@MurtadhaOne1 Sampe rumah pak prabowo baru inget yang bayar itu kan aksi damai RUU TNI ya aduh bodoamat lah ya sama sama demo juga ","1909316605869539655","","MurtadhaOne1","in","anywhere, But Here","0","0","0","https://x.com/aditamafaisal/status/1909316605869539655","1223320346","aditamafaisal"
"1909211989882069096","Mon Apr 07 18:40:17 +0000 2025","0","@ilhampid Demo yg dukung ruu tni noh orang nya aka dibayar aja sepi ga ada yg fomo -_- logika otak tua mau ngeles kebingungan","1909315309431144614","","ilhampid","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/iamyourdemonic_/status/1909315309431144614","1864262713872138240","iamyourdemonic_"
